"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145844","147595","152480","160862","313800","163962","170582","169242","170822","178653","175039","177137","178932","180086","180396","180022","178960","177561","177911","173505","170902","168095","165445","163484","162159","161587","162154","162059","162747","164119","166028","168228","172218","",
"Afghanistan","AFG","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6712","6103","5892","6563","6841","6844","6560","6230","5912","5615","5360","4824","4562","4661","4601","4506","4685","4901","4850","5474","6125","6867","8063","9215","10377","11566","12291","12872","13378","13717","14144","14559","14685","",
"Africa Western and Central","AFW","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73326","70208","71583","73141","74835","77094","78547","80379","82573","84271","85578","86996","88036","89349","89674","90197","90458","90502","90488","90570","90755","90990","91309","91596","92010","92565","92937","93959","94372","95840","97115","99407","102334","",
"Angola","AGO","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7597","7753","7897","8060","8239","8473","8728","8996","9252","9486","9705","9909","10083","10245","10375","10482","10539","10570","10567","10525","10472","10387","10302","10232","10183","10156","10160","10191","10239","10297","10390","10488","10644","",
"Albania","ALB","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","297","316","330","337","337","335","332","404","310","290","266","243","222","207","195","188","183","178","174","172","168","162","156","147","137","127","117","108","100","94","88","84","79","",
"Andorra","AND","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","",
"Arab World","ARB","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38388","36307","35880","35950","37057","37342","38025","38736","39568","40444","41372","42335","43145","43732","44075","44351","45124","45368","47994","46124","46190","48123","57170","57737","54695","57998","55117","56323","59126","54827","52025","51503","51259","",
"United Arab Emirates","ARE","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144","159","170","175","176","170","157","175","201","233","266","296","316","328","327","306","343","488","682","855","943","842","753","678","619","576","542","519","499","480","454","390","309","",
"Argentina","ARG","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2497","2554","2636","2742","2861","2980","3089","3193","3288","3361","3390","3359","3278","3161","3051","2994","3007","3070","3152","3243","3342","3445","3525","3561","3561","3535","3489","3418","3318","3212","3122","3055","3009","",
